"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2019","1,551.40","1,511.80","1,553.70","1,510.43","","2.71%"
"12/22/2019","1,510.42","1,478.20","1,515.47","1,477.51","","2.20%"
"12/15/2019","1,477.95","1,475.60","1,481.97","1,470.32","","0.16%"
"12/08/2019","1,475.56","1,459.49","1,486.95","1,458.76","","1.10%"
"12/01/2019","1,459.51","1,467.03","1,484.55","1,453.91","","-0.30%"
"11/24/2019","1,463.90","1,462.29","1,466.81","1,450.63","","0.13%"
"11/17/2019","1,462.04","1,467.66","1,479.15","1,456.26","","-0.35%"
"11/10/2019","1,467.12","1,458.96","1,474.62","1,445.61","","0.60%"
"11/03/2019","1,458.41","1,513.80","1,514.97","1,456.28","","-3.64%"
"10/27/2019","1,513.55","1,504.34","1,515.81","1,481.21","","0.61%"
"10/20/2019","1,504.33","1,492.02","1,518.07","1,480.87","","0.98%"
"10/13/2019","1,489.70","1,488.90","1,498.17","1,477.06","","0.02%"
"10/06/2019","1,489.45","1,504.76","1,517.08","1,474.28","","-0.99%"
"09/29/2019","1,504.35","1,497.07","1,518.81","1,459.00","","0.52%"
"09/22/2019","1,496.56","1,516.66","1,535.85","1,487.04","","-1.33%"
"09/15/2019","1,516.75","1,503.34","1,517.24","1,484.36","","1.90%"
"09/08/2019","1,488.45","1,507.10","1,523.96","1,484.27","","-1.21%"
"09/01/2019","1,506.70","1,520.10","1,557.38","1,502.89","","-0.87%"
"08/25/2019","1,519.85","1,539.30","1,555.13","1,517.43","","-0.41%"
"08/18/2019","1,526.10","1,511.15","1,530.11","1,491.85","","0.82%"
"08/11/2019","1,513.75","1,497.65","1,534.75","1,481.38","","1.13%"
"08/04/2019","1,496.84","1,440.65","1,510.28","1,437.03","","3.91%"
"07/28/2019","1,440.45","1,419.49","1,448.23","1,400.65","","1.56%"
"07/21/2019","1,418.31","1,425.15","1,433.84","1,411.08","","-0.46%"
"07/14/2019","1,424.91","1,415.75","1,452.96","1,400.18","","0.67%"
"07/07/2019","1,415.49","1,400.05","1,426.21","1,386.35","","1.14%"
"06/30/2019","1,399.55","1,392.83","1,436.29","1,381.84","","-0.68%"
"06/23/2019","1,409.10","1,401.35","1,438.99","1,400.21","","0.75%"
"06/16/2019","1,398.65","1,342.05","1,411.08","1,332.83","","4.27%"
"06/09/2019","1,341.33","1,335.94","1,358.40","1,319.74","","0.08%"
"06/02/2019","1,340.30","1,307.40","1,348.45","1,306.62","","2.69%"
"05/26/2019","1,305.25","1,285.80","1,307.11","1,274.82","","1.60%"
"05/19/2019","1,284.65","1,277.80","1,287.62","1,269.34","","0.59%"
"05/12/2019","1,277.15","1,286.71","1,303.47","1,274.91","","-0.66%"
"05/05/2019","1,285.60","1,281.19","1,291.73","1,276.85","","0.52%"
